Category,Question (Bangla),Answer (Bangla)
Crop Advice,ধান চাষের জন্য উপযুক্ত সার কোনটি?,"ধান চাষের জন্য ইউরিয়া, টিএসপি ও এমওপি ব্যবহার করুন।"
Crop Advice,গম চাষে কোন পদ্ধতি সবচেয়ে ভালো?,গম চাষের জন্য শস্য আবর্তন পদ্ধতি ব্যবহার করুন।
Crop Advice,ভুট্টা চাষের জন্য সর্বোত্তম সময় কখন?,ফাল্গুন-চৈত্র মাসে ভুট্টা চাষ সবচেয়ে ভালো ফলন দেয়।
Crop Advice,সরিষা চাষের জন্য কোন মাটি সবচেয়ে ভালো?,বেলে দোআঁশ মাটি সরিষা চাষের জন্য উপযুক্ত।
Crop Advice,আলু চাষে ভালো ফলন পেতে হলে কি করণীয়?,আলু চাষের জন্য উচ্চ ফলনশীল জাত ব্যবহার করুন এবং সঠিক সেচ ব্যবস্থা নিশ্চিত করুন।
Disease Control,গমের পাতায় হলুদ দাগ পড়লে কি করবো?,"এটি পাতার মিরচা রোগ হতে পারে, প্রকোপ বেশি হলে ছত্রাকনাশক স্প্রে করুন।"
Disease Control,টমেটো গাছের পাতা কুঁকড়ে গেলে করণীয় কি?,"এটি ভাইরাসজনিত রোগ হতে পারে, আক্রান্ত গাছ দ্রুত তুলে ফেলুন।"
Disease Control,বেগুন গাছের ফল পচে গেলে করণীয় কি?,"এটি ছত্রাকজনিত সমস্যা, ফলে ব্যাভিস্টিন স্প্রে করুন।"
Disease Control,আম গাছের গুটি ঝরে পড়লে করণীয় কি?,পর্যাপ্ত সেচ প্রদান করুন এবং মাইক্রো-নিউট্রিয়েন্ট স্প্রে করুন।
Disease Control,ধানের ব্লাস্ট রোগ হলে কি করতে হবে?,নিয়মিত ট্রাইসাইক্লাজোল ছত্রাকনাশক স্প্রে করুন।
Fertilizer Suggestion,ধানের জন্য সঠিক ইউরিয়া প্রয়োগের নিয়ম কী?,"একরে ১০-১২ কেজি ইউরিয়া প্রয়োগ করুন, ৩ বার বিভক্ত করে দিন।"
Fertilizer Suggestion,জৈব সার ব্যবহার করলে কি সুবিধা?,জৈব সার মাটির উর্বরতা বৃদ্ধি করে এবং দীর্ঘমেয়াদী উপকারী।
Fertilizer Suggestion,গম চাষে কোন সার বেশি প্রয়োজন?,"গমের জন্য ইউরিয়া, টিএসপি ও জিপসাম প্রয়োগ করুন।"
Fertilizer Suggestion,সবজি চাষে কি ধরনের সার সবচেয়ে ভালো?,কম্পোস্ট ও ভার্মি কম্পোস্ট ব্যবহার করলে ভালো ফলন পাওয়া যায়।
Fertilizer Suggestion,মাটির উর্বরতা বাড়ানোর জন্য কি করতে হবে?,নিয়মিত জৈব সার ও ফসলের আবর্তন পদ্ধতি ব্যবহার করুন।
Government Scheme,কৃষকদের জন্য সর্বশেষ সরকারি সুবিধা কি?,"বর্তমানে 'কৃষক সহায়তা প্রকল্প' চালু রয়েছে, বিস্তারিত জানতে নিকটস্থ কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,কৃষি ঋণের জন্য কোথায় আবেদন করতে পারি?,কৃষি উন্নয়ন ব্যাংক ও অন্যান্য সরকারি ব্যাংকে আবেদন করতে পারেন।
Government Scheme,সরকারি কৃষি ভর্তুকি কীভাবে পাওয়া যাবে?,কৃষি কার্ডের মাধ্যমে সরকারিভাবে কৃষি ভর্তুকি প্রদান করা হয়।
Government Scheme,সেচ সুবিধার জন্য সরকারি সহায়তা কী?,সরকার সেচ ব্যবস্থার জন্য কৃষকদের সহজ ঋণ সুবিধা প্রদান করে।
Government Scheme,কৃষি যন্ত্রপাতি কেনার জন্য সরকারি অনুদান কী?,সরকারি কৃষি যন্ত্রপাতি কেনার জন্য ৫০% পর্যন্ত ভর্তুকি প্রদান করা হয়।
Crop Advice,ধান চাষের জন্য উপযুক্ত সার কোনটি?,"ধান চাষের জন্য ইউরিয়া, টিএসপি ও এমওপি ব্যবহার করুন।"
Crop Advice,গম চাষে কোন পদ্ধতি সবচেয়ে ভালো?,গম চাষের জন্য শস্য আবর্তন পদ্ধতি ব্যবহার করুন।
Crop Advice,ভুট্টা চাষের জন্য সর্বোত্তম সময় কখন?,ফাল্গুন-চৈত্র মাসে ভুট্টা চাষ সবচেয়ে ভালো ফলন দেয়।
Crop Advice,সরিষা চাষের জন্য কোন মাটি সবচেয়ে ভালো?,বেলে দোআঁশ মাটি সরিষা চাষের জন্য উপযুক্ত।
Crop Advice,আলু চাষে ভালো ফলন পেতে হলে কি করণীয়?,আলু চাষের জন্য উচ্চ ফলনশীল জাত ব্যবহার করুন এবং সঠিক সেচ ব্যবস্থা নিশ্চিত করুন।
Disease Control,গমের পাতায় হলুদ দাগ পড়লে কি করবো?,"এটি পাতার মিরচা রোগ হতে পারে, প্রকোপ বেশি হলে ছত্রাকনাশক স্প্রে করুন।"
Disease Control,টমেটো গাছের পাতা কুঁকড়ে গেলে করণীয় কি?,"এটি ভাইরাসজনিত রোগ হতে পারে, আক্রান্ত গাছ দ্রুত তুলে ফেলুন।"
Disease Control,বেগুন গাছের ফল পচে গেলে করণীয় কি?,"এটি ছত্রাকজনিত সমস্যা, ফলে ব্যাভিস্টিন স্প্রে করুন।"
Disease Control,আম গাছের গুটি ঝরে পড়লে করণীয় কি?,পর্যাপ্ত সেচ প্রদান করুন এবং মাইক্রো-নিউট্রিয়েন্ট স্প্রে করুন।
Disease Control,ধানের ব্লাস্ট রোগ হলে কি করতে হবে?,নিয়মিত ট্রাইসাইক্লাজোল ছত্রাকনাশক স্প্রে করুন।
Fertilizer Suggestion,ধানের জন্য সঠিক ইউরিয়া প্রয়োগের নিয়ম কী?,"একরে ১০-১২ কেজি ইউরিয়া প্রয়োগ করুন, ৩ বার বিভক্ত করে দিন।"
Fertilizer Suggestion,জৈব সার ব্যবহার করলে কি সুবিধা?,জৈব সার মাটির উর্বরতা বৃদ্ধি করে এবং দীর্ঘমেয়াদী উপকারী।
Fertilizer Suggestion,গম চাষে কোন সার বেশি প্রয়োজন?,"গমের জন্য ইউরিয়া, টিএসপি ও জিপসাম প্রয়োগ করুন।"
Fertilizer Suggestion,সবজি চাষে কি ধরনের সার সবচেয়ে ভালো?,কম্পোস্ট ও ভার্মি কম্পোস্ট ব্যবহার করলে ভালো ফলন পাওয়া যায়।
Fertilizer Suggestion,মাটির উর্বরতা বাড়ানোর জন্য কি করতে হবে?,নিয়মিত জৈব সার ও ফসলের আবর্তন পদ্ধতি ব্যবহার করুন।
Government Scheme,কৃষকদের জন্য সর্বশেষ সরকারি সুবিধা কি?,"বর্তমানে 'কৃষক সহায়তা প্রকল্প' চালু রয়েছে, বিস্তারিত জানতে নিকটস্থ কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,কৃষি ঋণের জন্য কোথায় আবেদন করতে পারি?,কৃষি উন্নয়ন ব্যাংক ও অন্যান্য সরকারি ব্যাংকে আবেদন করতে পারেন।
Government Scheme,সরকারি কৃষি ভর্তুকি কীভাবে পাওয়া যাবে?,কৃষি কার্ডের মাধ্যমে সরকারিভাবে কৃষি ভর্তুকি প্রদান করা হয়।
Government Scheme,সেচ সুবিধার জন্য সরকারি সহায়তা কী?,সরকার সেচ ব্যবস্থার জন্য কৃষকদের সহজ ঋণ সুবিধা প্রদান করে।
Government Scheme,কৃষি যন্ত্রপাতি কেনার জন্য সরকারি অনুদান কী?,সরকারি কৃষি যন্ত্রপাতি কেনার জন্য ৫০% পর্যন্ত ভর্তুকি প্রদান করা হয়।
Crop Advice,ধান চাষের জন্য উপযুক্ত সার কোনটি?,"ধান চাষের জন্য ইউরিয়া, টিএসপি ও এমওপি ব্যবহার করুন।"
Crop Advice,গম চাষে কোন পদ্ধতি সবচেয়ে ভালো?,গম চাষের জন্য শস্য আবর্তন পদ্ধতি ব্যবহার করুন।
Crop Advice,ভুট্টা চাষের জন্য সর্বোত্তম সময় কখন?,ফাল্গুন-চৈত্র মাসে ভুট্টা চাষ সবচেয়ে ভালো ফলন দেয়।
Crop Advice,সরিষা চাষের জন্য কোন মাটি সবচেয়ে ভালো?,বেলে দোআঁশ মাটি সরিষা চাষের জন্য উপযুক্ত।
Crop Advice,আলু চাষে ভালো ফলন পেতে হলে কি করণীয়?,আলু চাষের জন্য উচ্চ ফলনশীল জাত ব্যবহার করুন এবং সঠিক সেচ ব্যবস্থা নিশ্চিত করুন।
Disease Control,গমের পাতায় হলুদ দাগ পড়লে কি করবো?,"এটি পাতার মিরচা রোগ হতে পারে, প্রকোপ বেশি হলে ছত্রাকনাশক স্প্রে করুন।"
Disease Control,টমেটো গাছের পাতা কুঁকড়ে গেলে করণীয় কি?,"এটি ভাইরাসজনিত রোগ হতে পারে, আক্রান্ত গাছ দ্রুত তুলে ফেলুন।"
Disease Control,বেগুন গাছের ফল পচে গেলে করণীয় কি?,"এটি ছত্রাকজনিত সমস্যা, ফলে ব্যাভিস্টিন স্প্রে করুন।"
Disease Control,আম গাছের গুটি ঝরে পড়লে করণীয় কি?,পর্যাপ্ত সেচ প্রদান করুন এবং মাইক্রো-নিউট্রিয়েন্ট স্প্রে করুন।
Disease Control,ধানের ব্লাস্ট রোগ হলে কি করতে হবে?,নিয়মিত ট্রাইসাইক্লাজোল ছত্রাকনাশক স্প্রে করুন।
Fertilizer Suggestion,ধানের জন্য সঠিক ইউরিয়া প্রয়োগের নিয়ম কী?,"একরে ১০-১২ কেজি ইউরিয়া প্রয়োগ করুন, ৩ বার বিভক্ত করে দিন।"
Fertilizer Suggestion,জৈব সার ব্যবহার করলে কি সুবিধা?,জৈব সার মাটির উর্বরতা বৃদ্ধি করে এবং দীর্ঘমেয়াদী উপকারী।
Fertilizer Suggestion,গম চাষে কোন সার বেশি প্রয়োজন?,"গমের জন্য ইউরিয়া, টিএসপি ও জিপসাম প্রয়োগ করুন।"
Fertilizer Suggestion,সবজি চাষে কি ধরনের সার সবচেয়ে ভালো?,কম্পোস্ট ও ভার্মি কম্পোস্ট ব্যবহার করলে ভালো ফলন পাওয়া যায়।
Fertilizer Suggestion,মাটির উর্বরতা বাড়ানোর জন্য কি করতে হবে?,নিয়মিত জৈব সার ও ফসলের আবর্তন পদ্ধতি ব্যবহার করুন।
Government Scheme,কৃষকদের জন্য সর্বশেষ সরকারি সুবিধা কি?,"বর্তমানে 'কৃষক সহায়তা প্রকল্প' চালু রয়েছে, বিস্তারিত জানতে নিকটস্থ কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,কৃষি ঋণের জন্য কোথায় আবেদন করতে পারি?,কৃষি উন্নয়ন ব্যাংক ও অন্যান্য সরকারি ব্যাংকে আবেদন করতে পারেন।
Government Scheme,সরকারি কৃষি ভর্তুকি কীভাবে পাওয়া যাবে?,কৃষি কার্ডের মাধ্যমে সরকারিভাবে কৃষি ভর্তুকি প্রদান করা হয়।
Government Scheme,সেচ সুবিধার জন্য সরকারি সহায়তা কী?,সরকার সেচ ব্যবস্থার জন্য কৃষকদের সহজ ঋণ সুবিধা প্রদান করে।
Government Scheme,কৃষি যন্ত্রপাতি কেনার জন্য সরকারি অনুদান কী?,সরকারি কৃষি যন্ত্রপাতি কেনার জন্য ৫০% পর্যন্ত ভর্তুকি প্রদান করা হয়।
Crop Advice,ধান চাষের জন্য উপযুক্ত সার কোনটি?,"ধান চাষের জন্য ইউরিয়া, টিএসপি ও এমওপি ব্যবহার করুন।"
Crop Advice,গম চাষে কোন পদ্ধতি সবচেয়ে ভালো?,গম চাষের জন্য শস্য আবর্তন পদ্ধতি ব্যবহার করুন।
Crop Advice,ভুট্টা চাষের জন্য সর্বোত্তম সময় কখন?,ফাল্গুন-চৈত্র মাসে ভুট্টা চাষ সবচেয়ে ভালো ফলন দেয়।
Crop Advice,সরিষা চাষের জন্য কোন মাটি সবচেয়ে ভালো?,বেলে দোআঁশ মাটি সরিষা চাষের জন্য উপযুক্ত।
Crop Advice,আলু চাষে ভালো ফলন পেতে হলে কি করণীয়?,আলু চাষের জন্য উচ্চ ফলনশীল জাত ব্যবহার করুন এবং সঠিক সেচ ব্যবস্থা নিশ্চিত করুন।
Disease Control,গমের পাতায় হলুদ দাগ পড়লে কি করবো?,"এটি পাতার মিরচা রোগ হতে পারে, প্রকোপ বেশি হলে ছত্রাকনাশক স্প্রে করুন।"
Disease Control,টমেটো গাছের পাতা কুঁকড়ে গেলে করণীয় কি?,"এটি ভাইরাসজনিত রোগ হতে পারে, আক্রান্ত গাছ দ্রুত তুলে ফেলুন।"
Disease Control,বেগুন গাছের ফল পচে গেলে করণীয় কি?,"এটি ছত্রাকজনিত সমস্যা, ফলে ব্যাভিস্টিন স্প্রে করুন।"
Disease Control,আম গাছের গুটি ঝরে পড়লে করণীয় কি?,পর্যাপ্ত সেচ প্রদান করুন এবং মাইক্রো-নিউট্রিয়েন্ট স্প্রে করুন।
Disease Control,ধানের ব্লাস্ট রোগ হলে কি করতে হবে?,নিয়মিত ট্রাইসাইক্লাজোল ছত্রাকনাশক স্প্রে করুন।
Fertilizer Suggestion,ধানের জন্য সঠিক ইউরিয়া প্রয়োগের নিয়ম কী?,"একরে ১০-১২ কেজি ইউরিয়া প্রয়োগ করুন, ৩ বার বিভক্ত করে দিন।"
Fertilizer Suggestion,জৈব সার ব্যবহার করলে কি সুবিধা?,জৈব সার মাটির উর্বরতা বৃদ্ধি করে এবং দীর্ঘমেয়াদী উপকারী।
Fertilizer Suggestion,গম চাষে কোন সার বেশি প্রয়োজন?,"গমের জন্য ইউরিয়া, টিএসপি ও জিপসাম প্রয়োগ করুন।"
Fertilizer Suggestion,সবজি চাষে কি ধরনের সার সবচেয়ে ভালো?,কম্পোস্ট ও ভার্মি কম্পোস্ট ব্যবহার করলে ভালো ফলন পাওয়া যায়।
Fertilizer Suggestion,মাটির উর্বরতা বাড়ানোর জন্য কি করতে হবে?,নিয়মিত জৈব সার ও ফসলের আবর্তন পদ্ধতি ব্যবহার করুন।
Government Scheme,কৃষকদের জন্য সর্বশেষ সরকারি সুবিধা কি?,"বর্তমানে 'কৃষক সহায়তা প্রকল্প' চালু রয়েছে, বিস্তারিত জানতে নিকটস্থ কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,কৃষি ঋণের জন্য কোথায় আবেদন করতে পারি?,কৃষি উন্নয়ন ব্যাংক ও অন্যান্য সরকারি ব্যাংকে আবেদন করতে পারেন।
Government Scheme,সরকারি কৃষি ভর্তুকি কীভাবে পাওয়া যাবে?,কৃষি কার্ডের মাধ্যমে সরকারিভাবে কৃষি ভর্তুকি প্রদান করা হয়।
Government Scheme,সেচ সুবিধার জন্য সরকারি সহায়তা কী?,সরকার সেচ ব্যবস্থার জন্য কৃষকদের সহজ ঋণ সুবিধা প্রদান করে।
Government Scheme,কৃষি যন্ত্রপাতি কেনার জন্য সরকারি অনুদান কী?,সরকারি কৃষি যন্ত্রপাতি কেনার জন্য ৫০% পর্যন্ত ভর্তুকি প্রদান করা হয়।
Crop Advice,ধান চাষের জন্য উপযুক্ত সার কোনটি?,"ধান চাষের জন্য ইউরিয়া, টিএসপি ও এমওপি ব্যবহার করুন।"
Crop Advice,গম চাষে কোন পদ্ধতি সবচেয়ে ভালো?,গম চাষের জন্য শস্য আবর্তন পদ্ধতি ব্যবহার করুন।
Crop Advice,ভুট্টা চাষের জন্য সর্বোত্তম সময় কখন?,ফাল্গুন-চৈত্র মাসে ভুট্টা চাষ সবচেয়ে ভালো ফলন দেয়।
Crop Advice,সরিষা চাষের জন্য কোন মাটি সবচেয়ে ভালো?,বেলে দোআঁশ মাটি সরিষা চাষের জন্য উপযুক্ত।
Crop Advice,আলু চাষে ভালো ফলন পেতে হলে কি করণীয়?,আলু চাষের জন্য উচ্চ ফলনশীল জাত ব্যবহার করুন এবং সঠিক সেচ ব্যবস্থা নিশ্চিত করুন।
Disease Control,গমের পাতায় হলুদ দাগ পড়লে কি করবো?,"এটি পাতার মিরচা রোগ হতে পারে, প্রকোপ বেশি হলে ছত্রাকনাশক স্প্রে করুন।"
Disease Control,টমেটো গাছের পাতা কুঁকড়ে গেলে করণীয় কি?,"এটি ভাইরাসজনিত রোগ হতে পারে, আক্রান্ত গাছ দ্রুত তুলে ফেলুন।"
Disease Control,বেগুন গাছের ফল পচে গেলে করণীয় কি?,"এটি ছত্রাকজনিত সমস্যা, ফলে ব্যাভিস্টিন স্প্রে করুন।"
Disease Control,আম গাছের গুটি ঝরে পড়লে করণীয় কি?,পর্যাপ্ত সেচ প্রদান করুন এবং মাইক্রো-নিউট্রিয়েন্ট স্প্রে করুন।
Disease Control,ধানের ব্লাস্ট রোগ হলে কি করতে হবে?,নিয়মিত ট্রাইসাইক্লাজোল ছত্রাকনাশক স্প্রে করুন।
Fertilizer Suggestion,ধানের জন্য সঠিক ইউরিয়া প্রয়োগের নিয়ম কী?,"একরে ১০-১২ কেজি ইউরিয়া প্রয়োগ করুন, ৩ বার বিভক্ত করে দিন।"
Fertilizer Suggestion,জৈব সার ব্যবহার করলে কি সুবিধা?,জৈব সার মাটির উর্বরতা বৃদ্ধি করে এবং দীর্ঘমেয়াদী উপকারী।
Fertilizer Suggestion,গম চাষে কোন সার বেশি প্রয়োজন?,"গমের জন্য ইউরিয়া, টিএসপি ও জিপসাম প্রয়োগ করুন।"
Fertilizer Suggestion,সবজি চাষে কি ধরনের সার সবচেয়ে ভালো?,কম্পোস্ট ও ভার্মি কম্পোস্ট ব্যবহার করলে ভালো ফলন পাওয়া যায়।
Fertilizer Suggestion,মাটির উর্বরতা বাড়ানোর জন্য কি করতে হবে?,নিয়মিত জৈব সার ও ফসলের আবর্তন পদ্ধতি ব্যবহার করুন।
Government Scheme,কৃষকদের জন্য সর্বশেষ সরকারি সুবিধা কি?,"বর্তমানে 'কৃষক সহায়তা প্রকল্প' চালু রয়েছে, বিস্তারিত জানতে নিকটস্থ কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,কৃষি ঋণের জন্য কোথায় আবেদন করতে পারি?,কৃষি উন্নয়ন ব্যাংক ও অন্যান্য সরকারি ব্যাংকে আবেদন করতে পারেন।
Government Scheme,সরকারি কৃষি ভর্তুকি কীভাবে পাওয়া যাবে?,কৃষি কার্ডের মাধ্যমে সরকারিভাবে কৃষি ভর্তুকি প্রদান করা হয়।
Government Scheme,সেচ সুবিধার জন্য সরকারি সহায়তা কী?,সরকার সেচ ব্যবস্থার জন্য কৃষকদের সহজ ঋণ সুবিধা প্রদান করে।
Government Scheme,কৃষি যন্ত্রপাতি কেনার জন্য সরকারি অনুদান কী?,সরকারি কৃষি যন্ত্রপাতি কেনার জন্য ৫০% পর্যন্ত ভর্তুকি প্রদান করা হয়।
